Thumb,Index,Middle,Ring,Pinky,Letter,
3792,3601,3937,3456,3101,2,
3737,3527,3999,3470,3147,2,
3824,3598,3949,3374,3153,2,
3813,3566,3967,3403,3110,2,
3755,3548,3939,3350,3177,2,
3742,3920,3937,3376,3186,2,
3762,3564,3913,3407,2554,2,
3563,3504,3547,3377,2503,2,
3671,3364,3931,3423,3056,2,
3680,3546,3939,3791,3127,2,
3744,3632,3920,3422,3090,2,
3737,3494,3898,3414,3128,2,
3732,3549,3937,3920,3120,2,
3743,3552,3955,3439,3156,2,
3760,3550,3975,3434,3158,2,
3729,3557,3955,3435,3147,2,
3808,3482,3916,3435,3112,2,
3713,3278,3944,3419,3153,2,
3821,3440,3950,3419,3151,2,
3676,3499,3902,3414,3100,2,
3746,3491,3930,3414,3136,2,
3702,3501,3958,3404,3133,2,
3757,3501,3951,3408,3147,2,
3418,3536,3921,3409,3139,2,
3759,3440,3871,3425,3136,2,
3689,3523,3962,3442,3143,2,
3687,3463,3888,3394,3136,2,
3713,3445,3919,3379,3133,2,
3766,3501,3947,3404,3107,2,
3719,3434,3963,3395,3163,2,
3760,3473,3987,3376,3071,2,
3729,3729,3799,1664,3152,3,b
3851,3682,3860,1821,3411,3,
3734,3686,3851,1903,3411,3,
3799,3728,3863,2034,3410,3,
3721,3663,3836,1969,3388,3,
3761,3694,3920,2001,3413,3,
3723,3677,3920,1990,3343,3,
3776,3700,3973,1993,3664,3,
3760,3694,3941,2119,3632,3,
3799,3702,3969,2003,3571,3,
3695,3670,3953,2015,3559,3,
3717,3632,3945,2019,3630,3,
3727,3599,3776,1888,3713,3,
3821,3712,3882,1996,3591,3,
3764,3668,3883,2015,3555,3,
3768,3691,3952,2079,3621,3,
3746,3521,3890,2432,3580,3,
3776,3687,3917,2417,3524,3,
3765,3675,3840,1941,3384,3,
3493,3509,3820,2032,3655,3,
3813,3631,3798,1768,3664,3,
3860,3568,3831,1837,3654,3,
3828,3609,3833,1791,3645,3,
3727,3609,3887,2426,3576,3,
3764,3648,3840,2384,3819,3,
3955,3582,4095,2355,3642,3,
3760,3659,3792,2359,3696,3,
3794,3535,3794,2347,3630,3,
